"","geneID","logFC","logCPM","F","PValue","FDR"
"1","PBANKA_0100800",0.359816235143434,9.24080803788865,2.22530542330551,0.16243808725452,0.194203234121551
"2","PBANKA_0100900",-0.233175423699949,6.79851946935918,1.99266252949381,0.184035074359153,0.217448035781264
"3","PBANKA_0101900",-0.0908919253756431,6.23007384726092,0.32816567090982,0.577557408825255,0.618177655063777
"4","PBANKA_0103900",0.864693890203455,7.82299603918097,24.7740217915809,0.00034397612113895,0.000676732655192223
"5","PBANKA_0104900",-0.389218487327575,7.04219722322424,6.07190070230091,0.0302245661889539,0.0413643343582086
"6","PBANKA_0105200",0.33879063845022,5.91265334795897,3.24954064646921,0.097447236939309,0.122390562189391
"7","PBANKA_0108700",-1.55540782929816,8.51522208779483,66.4650552873697,3.59630270997119e-06,1.18031275404894e-05
"8","PBANKA_0209500",-1.00046794788444,5.92836394773122,27.3862205243946,0.000234476724715835,0.000479818734151642
"9","PBANKA_0213000",-1.16255234628348,7.39530985053607,46.9015647047206,1.99640869568585e-05,5.337425626412e-05
"10","PBANKA_0303400",0.413904577572407,6.37513336314537,7.47934244839052,0.0184313479091572,0.0261357358826524
"11","PBANKA_0305300",1.12964403498261,4.92203730200645,40.4178893944136,4.02190287987035e-05,9.93622959232704e-05
"12","PBANKA_0306800",0.37698679171633,8.10558592219802,4.03145617128155,0.068257749839448,0.0881469531869216
"13","PBANKA_0312900",0.751330024869371,2.58350279606438,4.6595173107923,0.0525841840795139,0.069225811673483
"14","PBANKA_0315100",0.313425597477407,5.1314274722292,3.67753450483712,0.0798181674003942,0.101878878958026
"15","PBANKA_0401400",1.56481784211461,7.1706987236165,66.0857782046139,3.83602500533744e-06,1.24740168812617e-05
"16","PBANKA_0407900",0.718956627164159,5.69480091563897,20.4186993059004,0.000744339315280739,0.00136757141655963
"17","PBANKA_0409100",0.679013203064131,5.39107044880923,11.9052474436846,0.0050292011061094,0.00786916440076466
"18","PBANKA_0413400",2.40454167315801,7.31823889871105,128.208759258758,1.26985633817168e-07,6.67450525887046e-07
"19","PBANKA_0413600",0.569581240921146,3.85254729823138,4.33047787195427,0.0602921540583556,0.0786820564571575
"20","PBANKA_0414700",-0.183177756912154,5.89111766979384,1.21488675278801,0.292468209140381,0.33208167181091
"21","PBANKA_0418000",0.577850095860239,6.90426804683722,11.7332111461866,0.00518700635683167,0.00809559275509292
"22","PBANKA_0503500",-3.25278773547175,10.2750899211942,171.849124164967,2.31412681056669e-08,1.62580556890098e-07
"23","PBANKA_0504200",-0.282127308370001,5.46224288438437,2.27165483832364,0.158484962233653,0.189798213851731
"24","PBANKA_0505700",-2.74352750382237,6.22254959658234,132.673037527673,1.05688199747443e-07,5.66956438124569e-07
"25","PBANKA_0506200",1.89694504246823,5.72523670796562,122.964661359268,1.43772494019406e-07,7.41500266339917e-07
"26","PBANKA_0506600",-2.61670314330646,9.32846354352262,145.891909659911,5.68546915553985e-08,3.40439835875304e-07
"27","PBANKA_0508400",-1.32041723887743,4.94320003451594,38.0619082976573,5.55502138502096e-05,0.000132666034622471
"28","PBANKA_0511500",-1.17679936239243,5.55579740619367,27.0093351937778,0.000248491282162743,0.000506193526184896
"29","PBANKA_0514100",-0.415829012810458,6.70745552935489,4.23904454901725,0.0626724600972752,0.081637605383493
"30","PBANKA_0522900",0.256080419590871,6.40253606797172,2.32937012346255,0.153455388369973,0.184462767945473
"31","PBANKA_0523100",0.92084797660574,5.82897581670205,32.9779740831346,0.000101245552539888,0.000226281293656705
"32","PBANKA_0601000",-0.468947884120414,6.31437591850007,6.77969804228415,0.0236069027222893,0.0328808056503642
"33","PBANKA_0601800",-1.26855790179211,4.19537316098009,30.9471361887917,0.000135176155034601,0.000292852064301856
"34","PBANKA_0606000",-1.51459944417526,4.48432384628796,41.9748400500999,3.54500400096691e-05,8.88226433069015e-05
"35","PBANKA_0608600",-7.30630635438721,11.748605128525,170.605094445271,2.70664403444314e-08,1.83384402662408e-07
"36","PBANKA_0612800",1.04064023646039,6.03251702715277,35.2192614665196,7.61303965860512e-05,0.000175380037966749
"37","PBANKA_0613700",-0.788737687727036,8.86754152646135,16.8040446346539,0.00154415077572158,0.00267227772453426
"38","PBANKA_0618800",-0.153314603635637,3.85170932449678,0.340222141545246,0.570861277599445,0.611804957531279
"39","PBANKA_0621400",-0.132777353105213,7.04434915849972,0.61418037174382,0.448753933009528,0.492573669033538
"40","PBANKA_0703700",-1.01804516411922,6.99205493510812,34.9578107886764,7.80427268588879e-05,0.000179534570718167
