"","gene_id","logFC","FDR"
"133","PF3D7_1251500",-2.11567,0.000168886
"134","PF3D7_1302700",-1.00819,0.00641253
"135","PF3D7_1306900",-0.0672402,0.893729
"136","PF3D7_1307300",1.45855,0.000882604
"137","PF3D7_1310700",-5.06254,0.000168886
"138","PF3D7_1313400",0.624165,0.143409
"139","PF3D7_1315400",0.0367906,0.914099
"140","PF3D7_1317300",0.916633,0.0710402
"141","PF3D7_1320900",-2.43068,0.00601545
"142","PF3D7_1321700",0.662793,0.00164273
"143","PF3D7_1326300",0.179181,0.621415
"144","PF3D7_1330800",-3.62673,0.000168886
"145","PF3D7_1332700",0.278502,0.412962
"146","PF3D7_1346300",-1.21462,0.000470536
"147","PF3D7_1347500",0.0914867,0.787695
"148","PF3D7_1353400",1.45508,0.000168886
"149","PF3D7_1358600",-2.40301,0.000168886
"150","PF3D7_1359300",0.485714,0.133811
"151","PF3D7_1359400",1.07382,0.000168886
"152","PF3D7_1359600",-1.35157,0.000168886
"153","PF3D7_1360100",-0.471481,0.355259
"154","PF3D7_1360900",1.56848,0.000168886
"155","PF3D7_1364300",0.801425,0.0426071
"156","PF3D7_1367100",0.786433,0.0029262
"157","PF3D7_1402700",0.675627,0.035773
"158","PF3D7_1405900",-0.72352,0.00631547
"159","PF3D7_1406000",-1.4303,0.132406
"160","PF3D7_1409800",-0.594698,0.0349423
"161","PF3D7_1415300",-1.87187,0.000168886
"162","PF3D7_1417500",2.49424,0.000168886
"163","PF3D7_1418900",1.21411,0.00101469
"164","PF3D7_1419100",1.08329,0.00422995
"165","PF3D7_1419900",0.978936,0.036354
"166","PF3D7_1420000",-0.464045,0.10763
"167","PF3D7_1425600",4.25286,0.000168886
"168","PF3D7_1435800",0.991756,0.115773
"169","PF3D7_1439100",0.0651357,0.884344
"170","PF3D7_1443800",-1.07367,0.00895358
"171","PF3D7_1445200",-0.1368,0.691612
"172","PF3D7_1445600",1.43223,0.000168886
"173","PF3D7_1445900",0.580566,0.0161998
"174","PF3D7_1450400",0.10515,0.771326
"175","PF3D7_1450600",1.73951,0.00303634
"176","PF3D7_1454000",-0.0362581,0.92508
"177","PF3D7_1459000",-0.28192,0.356291
"178","PF3D7_1464200",1.98101,0.00314684
"179","PF3D7_1464400",-0.686007,0.357172
"180","PF3D7_1465900",-1.8187,0.000168886
"181","PF3D7_1466700",2.68631,0.0011443
"182","PF3D7_1468400",1.89968,0.00641253
"183","PF3D7_1468700",0.0256835,0.92202
"184","PF3D7_1468800",3.04288,0.000168886
"185","PF3D7_1468900",0.916984,0.0606484
"186","PF3D7_1469300",-1.54149,0.025194
"187","PF3D7_1474500",1.82928,0.000168886
"188","PF3D7_1474900",-0.923318,0.00200376
